01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 359:Plugin executed on: 'win32'
01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 360:Plugin executed with python version: '3.9.14 (main, Sep 19 2022, 05:11:57) [MSC v.1932 64 bit (AMD64)]'
01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 361:KiCad build version: (6.0.8)
01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 362:Plugin version: 1.3.5
01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 363:Frame repr: <wx._core.Frame object at 0x000001E001474700>
01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 387:Preparing replicator with Q3 as a reference
01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.replicate_layout 113:getting a list of all footprints on board
01-10 01:30:50 com_github_MitjaNemec_ReplicateLayout.replicate_layout 132:Footprint kibuzzard-64714FCB does not have Sheetfile property, it will not be replicated. Most likely it is only in layout
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:30:53 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 391:constructing a list of sheets suitable for replication on level:'BTS50005-1LUA1', file:'C:\\Users\\Karol\\Documents\\GitHub\\PDM\\PCB\\PDMS\\pdms\\bts50005-1lua.kicad_sch'
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 428:suitable sheets are:[['HP_POWER_CHANNEL', 'BTS50005-1LUA2'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA3'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA4'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA5'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA6'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA7'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA8']]
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1356:Level selected: ['HP_POWER_CHANNEL', 'BTS50005-1LUA1']
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1191:Filtering list of tracks
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 391:constructing a list of sheets suitable for replication on level:'BTS50005-1LUA1', file:'C:\\Users\\Karol\\Documents\\GitHub\\PDM\\PCB\\PDMS\\pdms\\bts50005-1lua.kicad_sch'
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 428:suitable sheets are:[['HP_POWER_CHANNEL', 'BTS50005-1LUA2'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA3'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA4'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA5'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA6'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA7'], ['HP_POWER_CHANNEL', 'BTS50005-1LUA8']]
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1356:Level selected: ['HP_POWER_CHANNEL', 'BTS50005-1LUA1']
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1191:Filtering list of tracks
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
01-10 01:31:03 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1197:Track group: , src group:
